pdb_id,pdb_path,chain1,chain2,lig_code,lig_smiles,lig_resi
SARS-b0141a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0141a.pdb,A,A,LIG,COc1cccc(C[C@H]2CCCN2C(=O)Cc2cncc3ccccc23)c1,410
SARS-b0141b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0141b.pdb,B,B,LIG,COc1cccc(C[C@H]2CCCN2C(=O)Cc2cncc3ccccc23)c1,602
SARS-b0147a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0147a.pdb,A,A,LIG,CCC(=O)NC[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1cccc(C)n1)C(=O)c1ccc(Cl)cc12,410
SARS-b0147b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0147b.pdb,B,B,LIG,CCC(=O)NC[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1cccc(C)n1)C(=O)c1ccc(Cl)cc12,602
SARS-b0148a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0148a.pdb,A,A,LIG,Cc1nnc(NC[C@H]2CN(c3cncc4ccccc34)C(=O)[C@@]23CN(Cc2cn(C)nn2)C(=O)c2ccc(Cl)cc23)o1,410
SARS-b0148b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0148b.pdb,B,B,LIG,Cc1nnc(NC[C@H]2CN(c3cncc4ccccc34)C(=O)[C@@]23CN(Cc2cn(C)nn2)C(=O)c2ccc(Cl)cc23)o1,602
SARS-b0155a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0155a.pdb,A,A,LIG,CC(C)C1CCN(C(=O)Cc2cncc3ccccc23)CC1,410
SARS-b0155b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0155b.pdb,B,B,LIG,CC(C)C1CCN(C(=O)Cc2cncc3ccccc23)CC1,602
SARS-b0157a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0157a.pdb,A,A,LIG,CCC1CCN(C(=O)Cc2cncc3ccccc23)CC1,410
SARS-b0157b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0157b.pdb,B,B,LIG,CCC1CCN(C(=O)Cc2cncc3ccccc23)CC1,602
SARS-b0160a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0160a.pdb,A,A,LIG,C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)[C@@H](C)C1,410
SARS-b0160b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0160b.pdb,B,B,LIG,C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)[C@@H](C)C1,602
SARS-b0161a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0161a.pdb,A,A,LIG,C[C@@H]1CCN(C(=O)Cc2cncc3ccccc23)[C@H](C)C1,410
SARS-b0161b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0161b.pdb,B,B,LIG,C[C@@H]1CCN(C(=O)Cc2cncc3ccccc23)[C@H](C)C1,602
SARS-b0162a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0162a.pdb,A,A,LIG,C[C@@H]1CCN(C(=O)Cc2cncc3ccccc23)[C@H](C)C1,410
SARS-b0162b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0162b.pdb,B,B,LIG,C[C@@H]1CCN(C(=O)Cc2cncc3ccccc23)[C@H](C)C1,602
SARS-b0163a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0163a.pdb,A,A,LIG,CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,410
SARS-b0163b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0163b.pdb,B,B,LIG,CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,602
SARS-b0166a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0166a.pdb,B,B,LIG,O=C1NC[C@H]2CN(C(=O)Cc3cncc4ccccc34)CC[C@@H]12,602
SARS-b0167a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0167a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCC([C@H]2CCO2)CC1,410
SARS-b0167b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0167b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCC([C@H]2CCO2)CC1,602
SARS-b0168a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0168a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CCOC2)CC1,410
SARS-b0168b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0168b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CCOC2)CC1,602
SARS-b0170a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0170a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CC1)COCCO2,410
SARS-b0170b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0170b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CC1)COCCO2,602
SARS-b0171a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0171a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CCO2)CC1,410
SARS-b0171b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0171b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CCO2)CC1,602
